model,contrast,n_pairs,delta_auroc_mean,delta_auroc_lo,delta_auroc_hi,delta_auprc_mean,delta_auprc_lo,delta_auprc_hi,H1_pass
logreg,rus - none,200,-0.002208960635510842,-0.029935017448490232,0.012357060308260814,-0.036473817040660765,-0.18926496345828214,0.026894732766743167,PASS
logreg,ros - none,200,0.0008330085861497188,-0.012870805671092719,0.01187266465249869,-0.01376823417500067,-0.06070857761162048,0.01908692267804681,PASS
logreg,smote - none,200,-0.0007513912526839179,-0.017607821360950234,0.011467622803785441,-0.014197396561796482,-0.07322611382960394,0.026985626754847846,PASS
xgboost,rus - none,200,-0.009727805381075065,-0.041901154997238794,0.006796381357954961,-0.054213635859295096,-0.19786304278149594,0.0015592898740837257,PASS
xgboost,ros - none,200,-0.0027869197497526945,-0.02226923964813192,0.007423267504207596,-0.001352091528445395,-0.03257946702518636,0.01903903223593472,PASS
xgboost,smote - none,200,-0.0002736146800993983,-0.01726002109704642,0.01361907464927609,-0.002762729258234536,-0.060889546332748526,0.029106089853757487,PASS
mlp,rus - none,200,0.01807474422516861,-0.11167386824917847,0.4291592035397031,-0.06338617057477394,-0.43575253727136853,0.43057845655183935,FAIL
mlp,ros - none,200,0.05459212067079853,-0.03895732266748623,0.5182949487739336,0.10314329188508271,-0.12507395946384908,0.8860990023012504,FAIL
mlp,smote - none,200,0.04907404720689946,-0.04464145011659996,0.5180886798790729,0.10021833550337808,-0.1040571077704507,0.8913178083411183,FAIL
